carat,color,clarity,depth,table,x,y,z,price
1.02,F,SI1,65.1,56,6.29,6.25,4.08,4462
0.91,F,VS2,58,56,6.34,6.41,3.7,4474
1.01,E,SI1,65.1,61,6.27,6.24,4.07,4480
1.01,E,SI1,64.8,58,6.34,6.29,4.09,4480
1,E,VS2,66.4,51,6.31,6.22,4.16,4480
1.01,G,VS2,66.8,56,6.15,6.09,4.09,4480
0.92,E,SI1,66.8,55,6.04,5.99,4.02,4482
1.07,E,SI2,62.2,66,6.57,6.48,4.06,4496
1,E,SI2,65.2,59,6.28,6.27,4.09,4516
1,E,SI2,63,58,6.35,6.26,3.97,4516
1.01,E,VS2,66.6,55,6.27,6.2,4.15,4525
1,G,VVS2,66.9,55,6.2,6.17,4.14,4534
0.9,F,VS2,59.5,67,6.29,6.24,3.73,4536
1.01,D,SI2,64.6,62,6.26,6.21,4.03,4538
0.91,E,VS2,61.8,66,6.11,6.09,3.77,4550
1.26,I,SI2,64.8,57,6.73,6.69,4.35,4551
1.18,I,VS2,62,66,6.75,6.63,4.16,4553
1.07,F,SI1,60.6,66,6.65,6.46,3.97,4554
1.01,F,SI1,65.9,60,6.25,6.17,4.09,4561
1.04,E,SI2,67.5,56,6.28,6.22,4.22,4566
1.45,J,SI2,58.6,68,7.45,7.33,4.34,4570
1,F,SI1,64.8,58,6.26,6.21,4.04,4586
1.01,E,SI2,57.1,59,6.65,6.69,3.81,4600
1.16,G,SI1,65.9,55,6.54,6.51,4.3,4612
1.35,G,SI2,66,58,6.89,6.81,4.52,4627
1,G,VS1,63.1,63,6.38,6.29,4,4630
1.01,F,SI1,65.5,57,6.12,6.22,4.04,4634
1.21,G,SI1,64.5,56,6.69,6.62,4.29,4637
1.01,G,SI1,60.4,62,6.31,6.34,3.82,4646
1.52,H,I1,69.7,55,6.92,6.89,4.81,4648
1.52,H,I1,65.4,62,7.1,7.02,4.62,4648
1,F,VS2,68.4,58,5.97,6.1,4.13,4656
1,F,SI1,65.8,58,6.23,6.15,4.07,4657
1,H,SI1,67.6,59,6.03,5.95,4.05,4665
1,F,SI1,56.5,60,6.62,6.66,3.75,4679
1,F,SI1,56.9,63,6.45,6.52,3.69,4688
1.13,I,VS2,55.9,67,7.05,6.94,3.9,4695
1.33,F,I1,62,56,7.05,7.01,4.36,4698
1,D,SI1,66.3,58,6.15,6.04,4.04,4704
1.5,I,I1,66.1,57,7.12,7.04,4.68,4704
1.5,I,I1,69.7,56,6.94,6.9,4.82,4704
1.5,I,SI2,64.9,61,7.14,7.09,4.62,4704
1,D,SI1,64.9,59,6.2,6.13,4,4704
1,D,SI1,65.9,54,6.24,6.2,4.1,4704
1.22,F,SI2,65,56,6.71,6.8,4.39,4705
0.3,J,VS2,64.8,58,4.24,4.16,2.72,416
1.17,H,SI2,60,66,6.86,6.78,4.09,4717
1.1,D,SI2,64.6,54,6.56,6.49,4.22,4725
1.38,G,SI2,61.2,59,7.19,7.13,4.38,4730
1,F,VS2,66.7,57,6.11,6.04,4.05,4732
1,H,VS1,64.1,60,6.3,6.22,4.01,4732
1.26,D,SI2,64.5,59,6.75,6.71,4.34,4746
1.01,D,SI1,63.5,58,6.35,6.25,4,4751
1.01,H,VS2,64.5,60,6.3,6.25,4.05,4751
1.01,D,SI1,64.6,60,6.12,6.08,3.94,4751
1.01,D,SI1,66.9,54,6.25,6.21,4.17,4751
1.02,H,SI1,65.5,60,6.29,6.22,4.1,4758
0.91,D,VS2,64.5,55,6.24,6.07,3.97,4765
0.91,E,VS1,64.5,58,6.14,6.1,3.95,4770
0.29,D,VS2,64.7,62,4.14,4.11,2.67,592
0.3,F,VS1,61.7,66,4.25,4.31,2.64,593
1.08,E,SI1,53.8,63,6.99,6.81,3.71,4790
1.01,F,VS2,64.8,56,6.3,6.25,4.07,4791
1.01,F,VS2,64.8,56,6.3,6.25,4.07,4791
1.01,F,VS2,66.1,61,6.1,6.04,4.01,4791
0.9,D,SI1,64,63,6.12,6.04,3.89,4796
1,E,SI1,65.8,59,6.07,6.15,4.02,4798
1.02,D,SI1,66.4,60,6.29,6.21,4.15,4798
1,F,SI1,65.4,59,6.27,6.2,4.08,4798
1.29,F,SI2,64.4,57,6.85,6.79,4.39,4824
1,F,VS2,64.7,59,6.22,6.15,4,4829
1,G,VS2,66.1,61,6.08,5.99,3.99,4838
1.2,J,SI1,65.2,58,6.67,6.58,4.32,4838
1.01,E,SI1,65.3,59,6.13,6.19,4.02,4844
1,E,SI1,57.4,61,6.53,6.63,3.78,4844
1.03,D,SI1,64.4,61,6.33,6.25,4.05,4845
0.96,F,SI1,60.7,65,6.43,6.28,3.86,4849
1.64,G,I1,64.5,60,7.44,7.35,4.76,4849
1.01,E,SI1,69.5,55,6,5.94,4.15,4853
0.91,G,VS2,64.9,54,6.04,6.08,3.93,4860
1,H,VS2,64.8,62,6.22,6.13,4,4861
1.01,G,VS1,66.8,61,6.15,6.06,4.08,4864
1.11,E,SI2,64.7,61,6.42,6.39,4.14,4873
1.01,G,VS2,64.9,56,6.27,6.21,4.05,4887
1.01,G,VS2,64.4,58,6.25,6.18,4,4887
1,G,VS1,63.1,68,6.32,6.17,3.94,4892
1.47,H,I1,66.7,59,6.98,6.94,4.64,4898
1.18,F,SI2,55.9,64,7.15,7.01,3.95,4903
1.2,F,SI2,65.1,58,6.62,6.56,4.29,4915
1.2,H,SI2,64.8,60,6.55,6.59,4.26,4916
1.33,E,SI2,65,57,6.93,6.89,4.49,4916
1,F,SI1,62.6,59,6.25,6.3,3.93,4925
1.21,E,SI2,65.6,59,6.62,6.56,4.32,4926
1,G,VVS2,65.5,54,6.3,6.22,4.1,4928
1.02,H,SI1,56.9,58,6.64,6.75,3.81,4935
1.5,H,I1,65.7,58,7.07,7.02,4.63,4939
1.5,H,I1,66.6,54,7.05,7.01,4.68,4939
1.26,G,SI2,53.2,61,7.44,7.36,3.94,4966
1.01,E,VS2,64.8,59,6.34,6.26,4.08,4972
1,F,VS1,67,52,6.12,6.08,4.09,4984
1.5,H,SI2,66,64,7.1,6.97,4.64,5000
1,E,SI1,57.6,57,6.56,6.52,3.77,5027
1.21,F,SI2,65.3,53,6.74,6.68,4.38,5028
1.01,E,SI1,64.7,56,6.34,6.27,4.08,5034
1.5,I,I1,65.1,59,7.12,6.96,4.58,5040
1,F,SI1,61.3,62,6.45,6.37,3.93,5040
1.21,H,VS2,64.5,56,6.7,6.66,4.31,5041
1.01,H,VS1,61.4,66,6.34,6.24,3.87,5062
1.51,I,I1,65.7,61,7.08,7.02,4.63,5074
0.93,D,VS2,56.3,67,6.52,6.45,3.65,5078
1.83,J,I1,70,58,7.34,7.28,5.12,5083
1.09,H,SI1,64.4,60,6.49,6.42,4.16,5085
1.01,F,VS2,65.2,52,6.31,6.29,4.11,5090
1,D,SI1,67.3,57,6.15,6.04,4.1,5096
1.34,G,SI2,64.7,55,7.03,6.97,4.53,5106
1.01,D,SI1,66.2,56,6.05,6.1,4.02,5122
1.01,F,SI1,65,61,6.29,6.23,4.07,5131
1.33,F,SI2,64.5,58,6.97,6.86,4.46,5139
1.01,F,SI1,57.9,57,6.53,6.57,3.79,5144
1.01,D,SI1,64.4,61,6.17,6.13,3.96,5147
1,G,VS2,64.5,58,6.26,6.2,4.02,5161
1.08,H,VVS2,55.9,63,6.9,6.8,3.83,5171
1.11,H,SI1,65.7,61,6.42,6.39,4.21,5178
1.01,E,SI1,56.8,61,6.59,6.62,3.75,5185
1.05,F,SI1,64.6,57,6.39,6.33,4.11,5186
1.19,I,SI1,64.9,58,6.64,6.55,4.28,5198
1.24,H,SI2,65,54,6.76,6.73,4.38,5208
1,E,SI1,57.4,62,6.54,6.59,3.77,5212
1.01,F,VS2,64.5,58,6.28,6.18,4.02,5226
1.72,J,I1,68.5,59,7.31,7.24,4.98,5240
1,H,VS1,64.6,59,6.3,6.26,4.06,5242
1.02,F,SI1,64.8,59,6.33,6.23,4.07,5255
1.5,J,SI2,65.5,60,7.07,7.03,4.62,5268
1.5,H,I1,68.9,56,7,6.9,4.79,5292
1,F,SI1,64.8,59,6.29,6.24,4.06,5292
1.01,G,VS2,68.9,60,6.06,6.02,4.17,5294
0.3,F,SI1,64.6,56,4.27,4.25,2.75,599
1,D,SI1,65.5,60,6.18,6.12,4.03,5331
1.27,H,SI2,65.2,54,6.78,6.71,4.41,5334
1.02,E,VS2,66.6,57,6.09,6.14,4.07,5350
1,E,VS2,65,58,6.21,6.16,4.02,5376
1.01,D,SI1,66,57,6.29,6.22,4.13,5385
1.01,D,SI1,65,57,6.3,6.22,4.07,5385
2.14,J,I1,69.4,57,7.74,7.7,5.36,5405
1.16,H,SI1,65.8,58,6.54,6.46,4.28,5411
2.15,J,I1,65.5,57,8.01,7.95,5.23,5430
0.91,E,VVS2,63.1,55,6.13,6,3.83,5430
1.01,D,SI1,64.7,57,6.33,6.25,4.07,5430
1.2,F,SI2,63.4,60,6.56,6.65,4.19,5445
1,H,VS1,55.8,60,6.66,6.61,3.7,5460
1.5,D,I1,64.7,62,7.19,7.04,4.6,5460
1.01,G,VS2,66.6,55,6.27,6.22,4.16,5475
1,G,VS2,67.6,57,6.2,6.13,4.17,5484
1,G,VS2,63.7,55,6.28,6.21,3.98,5484
1.12,G,VS1,64.8,56,6.48,6.52,4.21,5487
1.3,J,SI1,66,57.1,6.73,6.82,4.45,5488
1.01,F,VS2,65.5,62,6.19,6.23,4.07,5501
1.46,G,SI2,64.6,54,7.11,7.03,4.57,5504
0.39,E,SI1,65.6,60,4.5,4.56,2.97,601
1.35,J,SI1,65.2,56,6.9,7.02,4.54,5524
1.52,G,SI2,64.9,59,7.19,7.15,4.65,5533
1.01,G,VS2,64.5,57,6.26,6.2,4.02,5538
0.9,E,VVS2,58.1,59,6.21,6.26,3.62,5551
1.96,F,I1,66.6,60,7.59,7.56,5.04,5554
2.22,J,I1,66.7,56,8.04,8.02,5.36,5607
1.7,D,I1,64.7,56,7.46,7.37,4.8,5617
1.19,H,SI1,64.4,58,6.69,6.64,4.29,5622
1.03,E,SI1,65.1,58,6.35,6.24,4.1,5624
1.35,H,VS2,64.5,58,6.98,6.93,4.48,5625
1.01,D,SI1,62.6,57,6.14,6.22,3.87,5628
1.04,G,VS1,64.9,58,6.36,6.33,4.12,5633
1.5,H,I1,65.5,58,7.02,6.96,4.58,5645
1.01,G,VS2,67.8,59,6.07,6.02,4.1,5666
2,I,I1,66,60,7.78,7.74,5.1,5667
1.05,G,VS2,65.5,57,6.38,6.34,4.17,5673
1.02,E,SI1,65.7,58,6.23,6.31,4.12,5681
2.01,I,I1,67.4,58,7.71,7.64,5.17,5696
2.01,I,I1,55.9,64,8.48,8.39,4.71,5696
1.46,H,SI2,56.3,60,7.61,7.55,4.27,5723
1,E,VS2,67,54,6.23,6.18,4.16,5729
2.27,J,I1,67.6,55,8.05,8,5.43,5733
1.51,I,I1,65.1,57,7.16,7.12,4.65,5750
1.13,H,SI1,65.3,59,6.52,6.44,4.23,5771
1.01,F,VS2,65.1,59,6.17,6.21,4.03,5784
1.01,D,VS2,59.1,68,6.56,6.44,3.84,5797
1.51,J,SI2,65.1,59,7.13,7.09,4.63,5801
1,F,VS1,65.3,56,6.28,6.25,4.09,5833
1,F,VS2,64.9,56,6.26,6.31,4.08,5840
1.5,J,VS2,64.5,59,7.2,7.07,4.6,5846
1,G,VS1,58.7,67,6.47,6.45,3.79,5853
1.81,J,I1,68,57,7.43,7.39,5.04,5859
1.01,E,VS2,65.3,59,6.15,6.1,4,5882
1,G,VS1,64.4,56,6.31,6.26,4.05,5908
2,H,I1,69.8,54,7.6,7.56,5.29,5914
1.65,J,SI1,61.6,66,7.61,7.47,4.66,5914
1.52,J,SI2,65.8,57,7.18,7.11,4.7,5916
1.51,H,SI2,66.9,57,7.13,7.09,4.75,5919
1.51,F,SI2,65.4,56,7.2,7.08,4.67,5919
1.01,G,VS2,65.1,56,6.2,6.15,4.02,5950
1.82,H,I1,67.3,58,7.5,7.47,5.04,5993
2.03,H,I1,64.4,59,7.91,7.85,5.07,6002
2.03,H,I1,66.6,57,7.81,7.75,5.19,6002
1.5,J,SI1,64.9,58,7.09,7.03,4.58,6006
1.73,H,SI2,65.9,58,7.52,7.45,4.93,6007
1.01,F,VS2,69,61,6.06,5.99,4.16,6041
1.32,I,SI1,64.8,58,6.9,6.83,4.45,6061
1.33,G,SI2,63,62,6.9,6.87,4.34,6078
1.01,D,VS2,65.2,57,6.23,6.19,4.05,6081
1.43,E,SI2,66,57,7.02,7,4.63,6086
1.47,F,SI2,65.9,59,6.99,6.94,4.59,6108
1,F,VS1,64.8,61,6.26,6.21,4.04,6115
1,F,VS1,65,59,6.19,6.14,4.01,6115
1.52,H,SI2,64.9,58,7.16,7.13,4.64,6129
1.96,I,I1,66.8,55,7.62,7.6,5.08,6147
1.51,I,SI2,66,57,7.14,7,4.7,6156
1.01,D,VS2,65.6,61,6.21,6.16,4.06,6176
1.5,I,SI2,68.1,59,7.12,6.84,4.75,6209
1,F,VS2,64.9,52,6.24,6.33,4.08,6210
1.32,E,SI2,65.2,58,6.86,6.79,4.45,6221
1.5,H,SI2,64.6,59,7.2,7.11,4.62,6250
1,E,VS2,57.4,58,6.57,6.64,3.79,6268
1.01,G,VS2,59.1,56,6.55,6.52,3.86,6271
1.01,F,VS2,61.1,60,6.49,6.4,3.94,6271
1.6,F,SI2,65,56,7.35,7.26,4.8,6272
1,E,VS2,57.3,64,6.59,6.46,3.79,6285
2.49,J,I1,66.3,58,8.26,8.18,5.45,6289
1.51,H,SI2,65.4,60,7.06,6.96,4.6,6291
1.51,H,SI2,64.5,59,7.21,7.15,4.63,6291
2.01,G,I1,70.2,57,7.53,7.5,5.27,6315
2.14,H,I1,66.4,56,8,7.92,5.29,6328
1.5,H,SI1,68,59,7.12,6.82,4.76,6340
2.02,G,I1,68,55,7.77,7.72,5.27,6346
2.02,G,I1,65.6,57,7.87,7.8,5.15,6346
1.01,G,VS1,64.6,60,6.34,6.22,4.06,6353
1.01,F,VS1,64.6,60,6.26,6.16,4.01,6366
1.01,D,VS2,65.3,58,6.29,6.24,4.09,6366
1.54,I,SI2,65,56,7.22,7.14,4.67,6375
2.03,G,I1,66.3,56,7.81,7.75,5.16,6377
1.14,G,VS1,57.5,67,0,0,0,6381
1.01,F,VS1,64.5,59,6.27,6.19,4.02,6391
1,F,VS1,65.3,59,6.25,6.21,4.07,6397
1.21,G,SI1,64.6,60,6.69,6.62,4.3,6397
1.49,H,I1,66.9,61,6.93,6.89,4.62,6425
1.45,F,SI2,64.4,58,7.17,7.11,4.59,6455
2.07,G,I1,67.7,56,7.76,7.73,5.25,6503
1.15,G,VS1,64.6,57,6.6,6.5,4.23,6530
2,F,I1,66.1,57,7.84,7.7,5.14,6532
1.5,G,SI2,68.5,66,6.87,6.76,4.67,6552
2.22,H,I1,70.1,55,7.77,7.74,5.44,6564
1.51,D,SI2,66.2,54,7.19,7.08,4.72,6596
2.1,G,I1,67.4,59,7.82,7.76,5.24,6597
2.1,G,I1,64.6,58,8.05,8.01,5.19,6597
1.91,H,SI2,64.6,56,7.76,7.7,4.99,6632
1.01,F,VS1,61.7,61,6.6,6.49,4.04,6651
2.25,H,I1,67.7,58,8.01,7.97,5.41,6653
1.53,J,VS2,64.7,58,7.24,7.22,4.68,6659
1.5,I,SI2,64.8,58,7.05,7.15,4.6,6717
1.43,I,VS1,50.8,60,7.73,7.25,3.93,6727
1.02,G,VVS2,64.6,59,6.31,6.29,4.07,6736
2.03,F,I1,65.6,56,7.89,7.86,5.16,6753
1.01,F,VS1,64.7,54,6.33,6.28,4.08,6759
2,J,I1,66.5,56,7.93,7.8,5.23,6796
1.17,E,VS2,64.5,56,6.75,6.68,4.33,6814
1.51,H,SI2,65.5,56,7.18,7.13,4.69,6816
2.17,G,I1,55.6,62,8.75,8.69,4.8,6817
1.5,H,SI1,65,57,7.1,7.06,4.6,6838
1.5,H,SI1,65,57,7.1,7.06,4.6,6838
2.32,H,I1,70.5,55,7.93,7.9,5.58,6860
1.02,F,VVS2,64.8,58,6.22,6.28,4.05,6863
2.72,J,I1,68.2,56,8.46,8.43,5.76,6870
1.83,H,I1,68,57,7.47,7.44,5.07,6887
1.52,I,SI2,64.7,58,7.19,7.22,4.66,6905
1.5,E,SI2,64.8,55,7.26,7.15,4.67,6922
1.51,J,SI1,63.4,60,7.31,7.18,4.59,6976
2.11,F,I1,67.6,57,7.88,7.83,5.31,7019
1.5,F,SI2,64.7,59,7.13,7.05,4.59,7056
1.5,F,SI2,65.3,57,7.15,7.09,4.65,7056
2.25,G,I1,64.9,58,8.15,8.12,5.28,7069
1.08,G,VS1,64.7,60,6.44,6.41,4.16,7076
1.59,I,SI2,65.2,58,7.28,7.24,4.73,7080
1,D,VS1,55.9,60,6.77,6.71,4.38,7083
1.16,F,VS1,57.8,67,6.97,6.84,3.99,7094
1.5,H,SI2,59.3,58,7.31,7.37,4.35,7098
2.27,G,I1,68.6,56,7.99,7.94,5.47,7131
0.5,F,I1,71,57,4.87,4.79,3.43,613
0.5,F,I1,68.4,54,4.94,4.82,3.35,613
1.51,J,VS1,65.2,56,7.16,7.11,4.65,7139
1.35,I,VS2,61.6,62,7.15,7.1,4.39,7182
1.52,J,VS1,65.4,58,7.22,7.17,4.7,7186
1.5,H,SI2,65.5,53,7.14,7.11,4.67,7187
1.51,H,VS2,65.6,56,7.08,4.7,4,7188
1.5,H,SI1,65.9,56,7.11,7.04,4.66,7211
1.42,G,VS2,59.6,66,7.31,7.23,4.33,7214
2.31,G,I1,67.4,56,8.05,7.99,5.41,7257
2,F,I1,64.9,57,7.99,7.82,5.14,7258
1.05,G,VS1,65.6,58,6.25,6.38,4.13,7283
1.24,D,SI1,55.6,67,7.27,7.11,4,7291
2.01,F,I1,58.7,66,8.3,8.19,4.84,7294
1.5,G,SI1,56.1,62,7.6,7.52,4.24,7300
1.52,I,VVS2,64.9,56,7.28,7.21,4.7,7303
1.58,H,SI1,64.7,58,7.28,7.22,4.69,7333
1.13,F,VS1,64.5,55,6.62,6.56,4.25,7335
1.44,H,VS1,58.1,69,7.49,7.34,4.32,7338
1.52,H,SI2,64.9,58,7.23,7.19,4.68,7388
1.52,H,SI2,65,57,7.12,7.09,4.62,7388
1,E,VS1,64.4,55,6.33,6.3,4.07,7392
1.52,H,SI1,64.6,55,7.24,7.19,4.66,7433
1.5,E,SI2,65.8,57,7.17,7.11,4.7,7459
1.51,E,SI1,67.2,53,7.15,7.1,4.79,7468
1.5,D,SI2,68.8,57,6.9,6.86,4.73,7469
0.31,F,SI1,64.7,56,4.28,4.25,2.76,618
1.5,H,VVS2,65.8,57,7.19,7.15,4.72,7476
1.51,H,SI1,55.8,61,7.72,7.63,4.28,7509
1.51,H,VS2,64.9,53,7.28,7.24,4.71,7534
1,E,VVS2,56.8,58,6.59,6.64,3.76,7553
1.5,E,SI2,69.6,62,6.88,6.79,4.76,7560
1.5,F,SI2,65.4,58,7.17,7.1,4.67,7644
1.12,D,VS2,58.9,59,6.84,6.77,4.01,7696
1.52,D,SI2,56.3,61,7.7,7.62,4.31,7702
1.54,I,SI2,64.6,56,7.3,7.26,4.7,7727
1.52,I,SI1,64.6,58,7.24,7.21,4.68,7746
1.5,J,VS1,60.1,61,7.25,7.3,4.37,7819
1.5,H,SI1,66.1,57,7.06,6.98,4.64,7832
1.54,F,SI2,64.4,60,7.26,7.16,4.64,7848
2.5,G,I1,64.7,57,8.48,8.44,5.47,7854
1.5,I,SI1,56.7,63,7.52,7.57,4.28,7912
1,E,VVS2,65.4,56,6.28,6.2,4.08,7918
1.43,E,SI1,65.1,56,7.1,7.03,4.61,7928
2.2,I,I1,66.3,56,8.05,8,5.32,7934
1.56,G,SI2,64.8,59,7.38,7.19,4.72,7950
1.56,I,SI1,64.6,62,7.26,7.23,4.68,7950
1.02,F,VVS1,64.6,59,6.31,6.26,4.06,7960
1.5,G,SI2,64.7,55,7.16,7.13,4.62,7972
1.52,H,SI1,65.3,58,7.14,7.1,4.65,8001
1.51,H,SI1,66.5,56,7.03,6.99,4.66,8010
2,I,SI2,66.8,55,7.75,7.71,5.16,8037
1.5,H,VS1,64.8,55,7.25,7.2,4.68,8044
3,H,I1,67.1,57,8.93,8.84,5.97,8044
2,H,I1,66.8,57,7.81,7.72,5.19,8064
1.57,H,VS1,67.3,66,7.85,5.75,3.87,8133
1.5,E,SI2,59.9,68,7.39,7.3,4.4,8190
1.4,F,VS2,66.5,56,6.83,6.76,4.52,8216
1.51,H,SI1,65.8,62,7.1,7.06,4.66,8260
1.72,D,SI2,64.6,58,7.53,7.46,4.84,8264
1.51,F,SI2,61.8,66,7.18,7.16,4.43,8287
1.51,I,VS2,64.6,58,7.19,7.15,4.63,8287
1.51,I,SI1,68.3,57,6.95,6.87,4.72,8355
1.81,J,SI1,56.2,62,8.14,8.09,4.56,8362
1.51,F,SI1,65.8,56,7.16,7.12,4.7,8387
1.01,E,VVS1,66.1,55,6.19,6.1,4.06,8529
1.9,H,SI2,67.1,64,7.57,7.52,5.06,8576
1.5,G,SI1,65.5,58,7.16,7.12,4.68,8627
1.6,D,SI2,64.7,58,7.35,7.28,4.73,8666
1.52,H,VS2,62.1,66,7.33,7.13,4.5,8674
1.51,G,SI1,65,59,6.99,7.07,4.57,8681
2.5,G,I1,65.1,59,8.55,8.39,5.53,8711
1.71,F,SI2,64.9,57,7.51,7.41,4.84,8714
1.01,D,VVS2,65.4,57,6.2,6.16,4.04,8716
2,I,SI2,69.1,56,7.84,7.7,5.37,8736
1.49,F,SI1,59.6,63,7.2,7.34,4.33,8779
1.51,G,VS2,56,65,7.68,7.57,4.27,8794
1.51,G,SI2,65.5,55,7.14,7.08,4.66,8794
1.71,I,SI2,65.1,60,7.5,7.46,4.87,8800
2.74,J,I1,64.9,61,8.76,8.66,5.65,8807
1.52,H,SI1,61.2,60,7.39,7.29,4.49,8818
1.51,E,SI1,65.3,62,7.16,7.09,4.65,8869
1.51,I,VS2,64.8,60,7.18,7.1,4.63,8879
1.52,F,SI2,56.3,64,7.68,7.62,4.31,8938
1.64,E,SI2,63.1,60,7.58,7.5,4.75,8954
1.53,I,VS2,57.7,69,7.6,7.51,4.36,8996
1.55,H,SI2,64.6,58,7.28,7.21,4.68,9045
2.02,J,SI2,67.5,59,7.76,7.65,5.2,9095
1.51,I,VS2,58.8,62,7.57,7.51,4.43,9116
1.51,D,SI1,64.1,60,7.18,7.11,4.58,9293
1.76,J,VS1,56.9,66,8.09,7.94,4.56,9314
1.51,H,SI1,65.4,59,7.17,7.11,4.67,9386
1.51,H,VS2,65,64,7.1,7.03,4.59,9452
2,H,SI2,68.7,55,7.9,7.67,5.35,9549
1.51,D,SI2,64.7,57,7.17,7.24,4.66,9555
2,I,SI2,65,57,8.01,7.96,5.19,9610
1.51,H,VS2,57.4,61,7.49,7.63,4.34,9678
1.7,H,SI2,64.5,55,7.58,7.52,4.87,9682
1.52,D,SI1,64.6,64,7.18,7.16,4.63,9704
0.5,F,I1,67.1,57,4.92,4.87,3.28,627
0.5,F,I1,68.3,58,4.91,4.78,3.32,627
2.04,I,SI2,66.6,56,7.8,7.77,5.19,9802
3.11,J,I1,65.9,57,9.15,9.02,5.98,9823
2.02,J,SI2,64.6,55,7.93,7.84,5.09,9853
1.7,F,SI2,64.5,57,7.55,7.51,4.86,9996
1.01,D,SI2,64.6,58,6.25,6.2,4.02,10011
2.52,G,I1,66.9,57,8.39,8.33,5.6,10076
1.5,E,SI2,66.3,60,7.09,7.02,4.68,10080
2.01,H,SI2,64.9,56,7.88,7.81,5.09,10184
2.01,H,SI2,64.9,56,7.88,7.81,5.09,10184
1.5,H,VS2,65.2,58,7.12,7.06,4.62,10206
1.55,F,SI1,59.7,66,7.59,7.47,4.49,10217
1.5,G,SI1,64.5,57,7.15,7.09,4.59,10352
1.5,D,SI1,65.1,59,7.1,7.01,4.59,10374
0.31,G,VVS2,65.5,58,4.25,4.24,2.78,629
1.5,F,SI1,64.3,58,7.04,7.09,4.54,10450
2,I,SI2,65.2,59,7.74,7.69,5.03,10483
2,I,SI2,67.7,57,7.88,7.64,5.26,10483
1.51,G,VS2,58.1,67,7.59,7.49,4.38,10553
1,D,VVS2,61.1,57,6.37,6.3,3.87,10562
3.02,I,I1,65.2,56,9.11,9.02,5.91,10577
1.52,G,VS2,55.2,66,7.72,7.67,4.26,10623
1.5,G,VS2,66.2,53,7.12,7.08,4.7,10644
2.01,I,SI2,66.5,61,7.81,7.75,5.17,10671
2.01,I,SI2,66.9,58,7.93,7.69,5.21,10711
0.3,E,SI1,64.5,49,4.28,4.25,2.75,630
1,D,VVS1,56.7,68,6.66,6.64,3.77,10752
2,H,SI2,65.3,55,7.88,7.79,5.12,10752
3.01,H,I1,56.1,62,9.54,9.38,5.31,10761
2.01,H,SI2,65.3,56,7.95,7.86,5.16,10772
2.01,H,SI2,66.7,56,7.8,7.76,5.19,10772
2,I,SI2,65.9,57,7.96,7.79,5.19,10833
2.01,G,SI2,65.9,57,7.85,7.78,5.15,10887
2.01,G,SI2,65.9,57,7.85,7.78,5.15,10887
2,H,SI2,67.9,55,7.67,7.58,5.18,10913
1.54,F,SI1,65.8,56,7.22,7.18,4.74,10954
1.5,H,VS1,61.7,60,7.37,7.27,4.52,11007
0.3,E,VS2,66.7,59,4.23,4.05,2.78,630
1.51,E,SI1,58.4,70,7.55,7.39,4.36,11102
1.5,E,SI1,58.2,66,7.45,7.4,4.32,11128
1.5,F,SI1,64.6,60,7.18,7.1,4.61,11154
2,G,SI2,65.1,54,7.88,7.82,5.11,11156
2.01,E,SI2,65.5,56,7.84,7.79,5.12,11156
2,J,SI1,66.4,55,7.82,7.67,5.15,11189
2,H,SI2,55.3,65,8.42,8.35,4.64,11202
2.01,J,SI1,64.4,61,7.74,7.78,5,11212
1.51,H,VS1,58,67,7.63,7.57,4.41,11263
2,I,VS1,58.5,68,8.26,8.15,4.8,11322
2,G,SI2,65.1,57,7.84,7.78,5.09,11355
1.5,E,SI1,56.2,58,7.71,7.6,4.3,11489
2,H,SI2,65.2,55,7.9,7.85,5.13,11600
2,H,SI2,64.5,56,7.93,7.86,5.09,11655
3.65,H,I1,67.1,53,9.53,9.48,6.38,11668
1.51,G,VS1,64.9,55,7.25,7.14,4.67,11739
2.1,G,SI2,65,56,8.09,7.98,5.21,11923
2,G,SI1,65.5,58,7.82,7.73,5.09,11935
2.1,G,SI2,61.4,66,8.26,8.19,5.05,11946
2,J,VS2,65.4,58,7.96,7.75,5.14,11966
1.91,I,VS1,59.5,68,8.1,7.91,4.78,12244
2.01,G,SI2,56.2,63,8.28,8.23,4.64,12450
2.04,E,SI2,67.4,56,7.8,7.76,5.24,12454
2.58,F,SI2,65.2,59,8.58,8.51,5.57,12500
2.22,G,SI2,64.4,58,8.32,8.15,5.3,12508
2,H,SI2,65.9,58,7.84,7.8,5.15,12554
1.54,E,SI1,64.7,56,7.28,7.22,4.69,12581
2.02,I,SI2,64.5,60,7.94,7.82,5.08,12592
1.5,D,VS2,65.4,53,7.12,7.1,4.65,12606
2,F,SI2,59.8,68,8.13,7.95,4.81,12610
2.01,H,SI2,65.9,57,7.8,7.74,5.12,12617
0.32,F,SI1,64.4,54,4.36,4.33,2.8,638
2.11,G,SI2,65,56,8.06,8.01,5.22,12633
1.32,F,VVS1,58,66,7.31,7.28,4.23,12648
2,H,VS2,65.2,56,7.92,7.87,5.15,12765
1.5,G,VS2,64.4,56,7.16,7.09,4.59,12787
2.04,E,SI2,65.4,55,7.87,7.93,5.17,12799
2.29,J,SI1,56.8,66,8.79,8.69,4.96,12811
1.51,E,VS2,65,58,7.06,7.12,4.61,12829
2,I,VS1,66.3,54,7.98,7.88,5.26,12907
